"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2209","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Mon Mar 03 02:55:17 GMT 2025","unknown","Mon Mar 03 02:55:20 GMT 2025","","Change input value by clicking on the slider bar","",""
"","3168","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Mon Mar 03 02:52:17 GMT 2025","passed","Mon Mar 03 02:52:20 GMT 2025","","Search Kierra entry in the web table","",""
"","240","Create a new pet in petstore API","APIs","Mon Mar 03 02:51:33 GMT 2025","passed","Mon Mar 03 02:51:34 GMT 2025","","petstore","",""
"","3473","Display button click when clicked on","UI","Mon Mar 03 02:53:38 GMT 2025","passed","Mon Mar 03 02:53:41 GMT 2025","","popup","",""
"","2353","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Mon Mar 03 02:55:13 GMT 2025","unknown","Mon Mar 03 02:55:15 GMT 2025","","Checking a date via date picker using calendar module","",""
"","3376","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Mon Mar 03 02:55:20 GMT 2025","passed","Mon Mar 03 02:55:23 GMT 2025","","Click on ""Start"" to fill up the progress bar","",""
"","3947","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Mon Mar 03 02:55:27 GMT 2025","passed","Mon Mar 03 02:55:31 GMT 2025","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","3652","Check API response by clicking on links","UI","Mon Mar 03 02:51:58 GMT 2025","passed","Mon Mar 03 02:52:02 GMT 2025","","popup","",""
"","1","Check frames nested are displayed properly","FRAMES","Mon Mar 03 02:53:59 GMT 2025","unknown","Mon Mar 03 02:53:59 GMT 2025","","Check frames nested are displayed properly","",""
"","43","Rename a pet in petstore API","APIs","Mon Mar 03 02:51:34 GMT 2025","passed","Mon Mar 03 02:51:34 GMT 2025","","petstore","",""
"","34583","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","Mon Mar 03 02:54:17 GMT 2025","failed","Mon Mar 03 02:54:52 GMT 2025","","Fill all the select fields displayed","",""
"","3467","Display radio button text when selected","UI","Mon Mar 03 02:53:34 GMT 2025","passed","Mon Mar 03 02:53:38 GMT 2025","","popup","",""
"","4216","Check broken links returns an error 500","UI","Mon Mar 03 02:52:02 GMT 2025","passed","Mon Mar 03 02:52:06 GMT 2025","","popup","",""
"","2147","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","Mon Mar 03 02:54:12 GMT 2025","unknown","Mon Mar 03 02:54:14 GMT 2025","","Navigate using in-page tab contents on click","",""
"","3568","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","Mon Mar 03 02:52:23 GMT 2025","passed","Mon Mar 03 02:52:27 GMT 2025","","Download a file online","",""
"","4981","Fill a complete form using external json data","UI","Mon Mar 03 02:53:54 GMT 2025","passed","Mon Mar 03 02:53:59 GMT 2025","","popup","",""
"","1","Retrieve version MSSQL","CONTAINER-MSSQL","Mon Mar 03 02:51:34 GMT 2025","skipped","Mon Mar 03 02:51:34 GMT 2025","","Retrieve version MSSQL","",""
"","11882","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","Mon Mar 03 02:52:50 GMT 2025","passed","Mon Mar 03 02:53:02 GMT 2025","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","99","Delete a pet in petstore API","APIs","Mon Mar 03 02:51:34 GMT 2025","passed","Mon Mar 03 02:51:34 GMT 2025","","petstore","",""
"","8426","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","Mon Mar 03 02:53:02 GMT 2025","passed","Mon Mar 03 02:53:10 GMT 2025","","Redirection to a new window when clicking on ""New Window"" button","",""
"","3195","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","Mon Mar 03 02:54:14 GMT 2025","passed","Mon Mar 03 02:54:17 GMT 2025","","Navigate using in-page menu and sub-menu contents on hover","",""
"","3731","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","Mon Mar 03 02:55:03 GMT 2025","passed","Mon Mar 03 02:55:07 GMT 2025","","Display information tooltips on hover for designated element","",""
"","3222","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","Mon Mar 03 02:52:20 GMT 2025","passed","Mon Mar 03 02:52:23 GMT 2025","","Upload a file and check file path","",""
"","8436","Check dynamic elements change properties after 5 seconds","UI","Mon Mar 03 02:53:41 GMT 2025","passed","Mon Mar 03 02:53:49 GMT 2025","","popup","",""
"","3209","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Mon Mar 03 02:55:07 GMT 2025","passed","Mon Mar 03 02:55:10 GMT 2025","","Check suggestions when using autocomplete on input field","",""
"","4838","Display checkbox folders and sub-folders when checked","UI","Mon Mar 03 02:53:17 GMT 2025","passed","Mon Mar 03 02:53:22 GMT 2025","","popup","",""
"","3752","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Mon Mar 03 02:52:10 GMT 2025","passed","Mon Mar 03 02:52:13 GMT 2025","","Edit the first entry in the web table","",""
"","3583","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Mon Mar 03 02:52:06 GMT 2025","passed","Mon Mar 03 02:52:10 GMT 2025","","Add a new entry to web table","",""
"","1","Retrieve version Mysql","CONTAINER-MYSQL","Mon Mar 03 02:51:34 GMT 2025","skipped","Mon Mar 03 02:51:34 GMT 2025","","Retrieve version Mysql","",""
"","3922","Click on ""Stop"" to stop the progress bar from filling","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Mon Mar 03 02:55:23 GMT 2025","passed","Mon Mar 03 02:55:27 GMT 2025","","Click on ""Stop"" to stop the progress bar from filling","",""
"","3084","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","Mon Mar 03 02:52:40 GMT 2025","passed","Mon Mar 03 02:52:43 GMT 2025","","Check different alerts popins are displayed","",""
"","6763","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","Mon Mar 03 02:53:10 GMT 2025","passed","Mon Mar 03 02:53:17 GMT 2025","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","3227","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Mon Mar 03 02:52:13 GMT 2025","passed","Mon Mar 03 02:52:17 GMT 2025","","Delete the third entry in the web table","",""
"","2398","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Mon Mar 03 02:55:10 GMT 2025","unknown","Mon Mar 03 02:55:13 GMT 2025","","Checking a date via date picker using input field","",""
"","2332","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Mon Mar 03 02:55:15 GMT 2025","unknown","Mon Mar 03 02:55:17 GMT 2025","","Change input value by moving the slider","",""
"","3313","Redirection to a new page when clicking on link (tabs and windows)","UI","Mon Mar 03 02:51:34 GMT 2025","passed","Mon Mar 03 02:51:37 GMT 2025","","popup","",""
"","3409","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","Mon Mar 03 02:52:47 GMT 2025","passed","Mon Mar 03 02:52:50 GMT 2025","","Check different modals dialogs popin are displayed","",""
"","42","Search a pet in petstore API","APIs","Mon Mar 03 02:51:34 GMT 2025","passed","Mon Mar 03 02:51:34 GMT 2025","","petstore","",""
"","2213","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","Mon Mar 03 02:54:03 GMT 2025","unknown","Mon Mar 03 02:54:05 GMT 2025","","Open only the selected accordian section on click","",""
"","4278","Drag and drop a draggable element into another","DRAG_AND_DROP","Mon Mar 03 02:53:49 GMT 2025","passed","Mon Mar 03 02:53:54 GMT 2025","","Drag and drop a draggable element into another","",""
"","1","Check multiple frames are displayed properly","FRAMES","Mon Mar 03 02:53:59 GMT 2025","unknown","Mon Mar 03 02:53:59 GMT 2025","","Check multiple frames are displayed properly","",""
