"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32290","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","Fri Apr 10 04:52:17 UTC 2026","failed","Fri Apr 10 04:52:50 UTC 2026","","Check different modals dialogs popin are displayed","",""
"","1","Retrieve version Mysql","CONTAINER-MYSQL","Fri Apr 10 04:43:26 UTC 2026","skipped","Fri Apr 10 04:43:26 UTC 2026","","Retrieve version Mysql","",""
"","32465","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Apr 10 04:47:53 UTC 2026","failed","Fri Apr 10 04:48:26 UTC 2026","","Edit the first entry in the web table","",""
"","91","Rename a pet in petstore API","APIs","Fri Apr 10 04:43:26 UTC 2026","passed","Fri Apr 10 04:43:26 UTC 2026","","petstore","",""
"","32425","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","Fri Apr 10 04:51:13 UTC 2026","failed","Fri Apr 10 04:51:45 UTC 2026","","Check different alerts popins are displayed","",""
"","32358","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Apr 10 04:48:59 UTC 2026","failed","Fri Apr 10 04:49:31 UTC 2026","","Search Kierra entry in the web table","",""
"","1497","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","Fri Apr 10 04:57:05 UTC 2026","unknown","Fri Apr 10 04:57:07 UTC 2026","","Open only the selected accordian section on click","",""
"","1","Check frames nested are displayed properly","FRAMES","Fri Apr 10 04:57:02 UTC 2026","unknown","Fri Apr 10 04:57:02 UTC 2026","","Check frames nested are displayed properly","",""
"","1597","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Apr 10 05:01:04 UTC 2026","unknown","Fri Apr 10 05:01:05 UTC 2026","","Change input value by clicking on the slider bar","",""
"","33264","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Apr 10 04:48:26 UTC 2026","failed","Fri Apr 10 04:48:59 UTC 2026","","Delete the third entry in the web table","",""
"","32313","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","Fri Apr 10 04:59:54 UTC 2026","failed","Fri Apr 10 05:00:27 UTC 2026","","Display information tooltips on hover for designated element","",""
"","32312","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Apr 10 04:47:21 UTC 2026","failed","Fri Apr 10 04:47:53 UTC 2026","","Add a new entry to web table","",""
"","188","Create a new pet in petstore API","APIs","Fri Apr 10 04:43:25 UTC 2026","passed","Fri Apr 10 04:43:26 UTC 2026","","petstore","",""
"","32367","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Apr 10 05:02:11 UTC 2026","failed","Fri Apr 10 05:02:43 UTC 2026","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","32247","Display radio button text when selected","UI","Fri Apr 10 04:54:46 UTC 2026","failed","Fri Apr 10 04:55:18 UTC 2026","","popup","",""
"","6844","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","Fri Apr 10 04:52:50 UTC 2026","passed","Fri Apr 10 04:52:56 UTC 2026","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","1637","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Apr 10 05:01:02 UTC 2026","unknown","Fri Apr 10 05:01:04 UTC 2026","","Change input value by moving the slider","",""
"","166","Delete a pet in petstore API","APIs","Fri Apr 10 04:43:26 UTC 2026","passed","Fri Apr 10 04:43:26 UTC 2026","","petstore","",""
"","32771","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Apr 10 05:01:05 UTC 2026","failed","Fri Apr 10 05:01:38 UTC 2026","","Click on ""Start"" to fill up the progress bar","",""
"","32851","Redirection to a new page when clicking on link (tabs and windows)","UI","Fri Apr 10 04:43:26 UTC 2026","failed","Fri Apr 10 04:43:59 UTC 2026","","popup","",""
"","1","Retrieve version MSSQL","CONTAINER-MSSQL","Fri Apr 10 04:43:26 UTC 2026","skipped","Fri Apr 10 04:43:26 UTC 2026","","Retrieve version MSSQL","",""
"","1","Check multiple frames are displayed properly","FRAMES","Fri Apr 10 04:57:02 UTC 2026","unknown","Fri Apr 10 04:57:02 UTC 2026","","Check multiple frames are displayed properly","",""
"","6053","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","Fri Apr 10 04:53:03 UTC 2026","passed","Fri Apr 10 04:53:09 UTC 2026","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","32134","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","Fri Apr 10 04:57:45 UTC 2026","failed","Fri Apr 10 04:58:17 UTC 2026","","Fill all the select fields displayed","",""
"","6017","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","Fri Apr 10 04:52:56 UTC 2026","passed","Fri Apr 10 04:53:03 UTC 2026","","Redirection to a new window when clicking on ""New Window"" button","",""
"","1585","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Apr 10 05:01:01 UTC 2026","unknown","Fri Apr 10 05:01:02 UTC 2026","","Checking a date via date picker using calendar module","",""
"","32383","Display button click when clicked on","UI","Fri Apr 10 04:55:18 UTC 2026","failed","Fri Apr 10 04:55:50 UTC 2026","","popup","",""
"","33060","Fill a complete form using external json data","UI","Fri Apr 10 04:56:29 UTC 2026","failed","Fri Apr 10 04:57:02 UTC 2026","","popup","",""
"","1985","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Apr 10 04:49:33 UTC 2026","passed","Fri Apr 10 04:49:35 UTC 2026","","Download a file online","",""
"","104","Search a pet in petstore API","APIs","Fri Apr 10 04:43:26 UTC 2026","passed","Fri Apr 10 04:43:26 UTC 2026","","petstore","",""
"","3001","Check broken links returns an error 500","UI","Fri Apr 10 04:47:18 UTC 2026","passed","Fri Apr 10 04:47:21 UTC 2026","","popup","",""
"","32225","Display checkbox folders and sub-folders when checked","UI","Fri Apr 10 04:53:09 UTC 2026","failed","Fri Apr 10 04:53:41 UTC 2026","","popup","",""
"","32934","Check API response by clicking on links","UI","Fri Apr 10 04:46:45 UTC 2026","failed","Fri Apr 10 04:47:18 UTC 2026","","popup","",""
"","32098","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","Fri Apr 10 04:57:13 UTC 2026","failed","Fri Apr 10 04:57:45 UTC 2026","","Navigate using in-page menu and sub-menu contents on hover","",""
