"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 16 02:36:32 GMT 2023","Thu Mar 16 02:36:35 GMT 2023","3090","ADD_DELETE_UPDATE_WEBTABLE_DATA","Delete the third entry in the web table","","","","Delete the third entry in the web table",""
"passed","Thu Mar 16 02:37:55 GMT 2023","Thu Mar 16 02:37:59 GMT 2023","4279","DRAG_AND_DROP","Drag and drop a draggable element into another","","","","Drag and drop a draggable element into another",""
"passed","Thu Mar 16 02:37:47 GMT 2023","Thu Mar 16 02:37:55 GMT 2023","7941","CLICK_ON_DIFFERENT_BUTTON_TYPES","Check dynamic elements change properties after 5 seconds","","","","Check dynamic elements change properties after 5 seconds",""
"passed","Thu Mar 16 02:40:04 GMT 2023","Thu Mar 16 02:40:08 GMT 2023","3857","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","The button ""Reset"" is visible after the progress bar is at 100%","","","","The button ""Reset"" is visible after the progress bar is at 100%",""
"passed","Thu Mar 16 02:35:51 GMT 2023","Thu Mar 16 02:35:51 GMT 2023","85","API_CALLS","Create a new pet in petstore API","","","","Create a new pet in petstore API",""
"skipped","Thu Mar 16 02:35:51 GMT 2023","Thu Mar 16 02:35:51 GMT 2023","2","CONTAINER-MYSQL","Retrieve version Mysql","","","","Retrieve version Mysql",""
"unknown","Thu Mar 16 02:38:40 GMT 2023","Thu Mar 16 02:38:42 GMT 2023","2345","WIDGET_DISPLAY_AND_MENUS","Open only the selected accordian section on click","","","","Open only the selected accordian section on click",""
"passed","Thu Mar 16 02:37:23 GMT 2023","Thu Mar 16 02:37:30 GMT 2023","6904","BROWSER_WINDOWS_AND_TABS","Opening a new window with text when clicking on ""New Window Message"" button","","","","Opening a new window with text when clicking on ""New Window Message"" button",""
"passed","Thu Mar 16 02:37:41 GMT 2023","Thu Mar 16 02:37:44 GMT 2023","2905","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display radio button text when selected","","","","Display radio button text when selected",""
"passed","Thu Mar 16 02:36:41 GMT 2023","Thu Mar 16 02:36:44 GMT 2023","3091","ADD_DELETE_UPDATE_WEBTABLE_DATA","Download a file online","","","","Download a file online",""
