"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Thu Jul 18 02:33:07 GMT 2024","Thu Jul 18 02:33:09 GMT 2024","2168","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page tab contents on click","","","","Navigate using in-page tab contents on click",""
"skipped","Thu Jul 18 02:30:20 GMT 2024","Thu Jul 18 02:30:20 GMT 2024","1","CONTAINER-MYSQL","Retrieve version Mysql","","","","Retrieve version Mysql",""
"passed","Thu Jul 18 02:31:57 GMT 2024","Thu Jul 18 02:32:04 GMT 2024","7316","BROWSER_WINDOWS_AND_TABS","Opening a new window with text when clicking on ""New Window Message"" button","","","","Opening a new window with text when clicking on ""New Window Message"" button",""
"passed","Thu Jul 18 02:32:04 GMT 2024","Thu Jul 18 02:32:09 GMT 2024","4693","UI","popup","","","","Display checkbox folders and sub-folders when checked",""
"passed","Thu Jul 18 02:34:28 GMT 2024","Thu Jul 18 02:34:32 GMT 2024","3883","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Click on ""Stop"" to stop the progress bar from filling","","","","Click on ""Stop"" to stop the progress bar from filling",""
"passed","Thu Jul 18 02:34:11 GMT 2024","Thu Jul 18 02:34:15 GMT 2024","4179","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Check suggestions when using autocomplete on input field","","","","Check suggestions when using autocomplete on input field",""
"unknown","Thu Jul 18 02:32:57 GMT 2024","Thu Jul 18 02:32:59 GMT 2024","2068","WIDGET_DISPLAY_AND_MENUS","Open only the selected accordian section on click","","","","Open only the selected accordian section on click",""
"passed","Thu Jul 18 02:31:11 GMT 2024","Thu Jul 18 02:31:15 GMT 2024","3799","ADD_DELETE_UPDATE_WEBTABLE_DATA","Download a file online","","","","Download a file online",""
"passed","Thu Jul 18 02:32:36 GMT 2024","Thu Jul 18 02:32:42 GMT 2024","5659","DRAG_AND_DROP","Drag and drop a draggable element into another","","","","Drag and drop a draggable element into another",""
"passed","Thu Jul 18 02:34:32 GMT 2024","Thu Jul 18 02:34:36 GMT 2024","4246","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","The button ""Reset"" is visible after the progress bar is at 100%","","","","The button ""Reset"" is visible after the progress bar is at 100%",""
"passed","Thu Jul 18 02:31:01 GMT 2024","Thu Jul 18 02:31:04 GMT 2024","3389","ADD_DELETE_UPDATE_WEBTABLE_DATA","Delete the third entry in the web table","","","","Delete the third entry in the web table",""
"passed","Thu Jul 18 02:30:20 GMT 2024","Thu Jul 18 02:30:20 GMT 2024","169","APIs","petstore","","","","Rename a pet in petstore API",""
"unknown","Thu Jul 18 02:34:15 GMT 2024","Thu Jul 18 02:34:17 GMT 2024","2200","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using input field","","","","Checking a date via date picker using input field",""
"passed","Thu Jul 18 02:34:07 GMT 2024","Thu Jul 18 02:34:11 GMT 2024","3787","WIDGET_DISPLAY_AND_MENUS","Display information tooltips on hover for designated element","","","","Display information tooltips on hover for designated element",""
"passed","Thu Jul 18 02:34:24 GMT 2024","Thu Jul 18 02:34:28 GMT 2024","3748","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Click on ""Start"" to fill up the progress bar","","","","Click on ""Start"" to fill up the progress bar",""
"passed","Thu Jul 18 02:30:57 GMT 2024","Thu Jul 18 02:31:01 GMT 2024","4270","ADD_DELETE_UPDATE_WEBTABLE_DATA","Edit the first entry in the web table","","","","Edit the first entry in the web table",""
"passed","Thu Jul 18 02:30:20 GMT 2024","Thu Jul 18 02:30:20 GMT 2024","211","APIs","petstore","","","","Delete a pet in petstore API",""
"passed","Thu Jul 18 02:30:43 GMT 2024","Thu Jul 18 02:30:47 GMT 2024","3956","UI","popup","","","","Check API response by clicking on links",""
"passed","Thu Jul 18 02:31:08 GMT 2024","Thu Jul 18 02:31:11 GMT 2024","3187","ADD_DELETE_UPDATE_WEBTABLE_DATA","Upload a file and check file path","","","","Upload a file and check file path",""
"passed","Thu Jul 18 02:32:42 GMT 2024","Thu Jul 18 02:32:48 GMT 2024","6176","UI","popup","","","","Fill a complete form using external json data",""
"unknown","Thu Jul 18 02:34:19 GMT 2024","Thu Jul 18 02:34:22 GMT 2024","2651","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by moving the slider","","","","Change input value by moving the slider",""
"passed","Thu Jul 18 02:32:21 GMT 2024","Thu Jul 18 02:32:24 GMT 2024","3351","UI","popup","","","","Display radio button text when selected",""
"passed","Thu Jul 18 02:31:50 GMT 2024","Thu Jul 18 02:31:57 GMT 2024","7100","BROWSER_WINDOWS_AND_TABS","Redirection to a new window when clicking on ""New Window"" button","","","","Redirection to a new window when clicking on ""New Window"" button",""
"passed","Thu Jul 18 02:32:24 GMT 2024","Thu Jul 18 02:32:28 GMT 2024","3438","UI","popup","","","","Display button click when clicked on",""
"passed","Thu Jul 18 02:30:20 GMT 2024","Thu Jul 18 02:30:20 GMT 2024","118","APIs","petstore","","","","Search a pet in petstore API",""
"passed","Thu Jul 18 02:33:09 GMT 2024","Thu Jul 18 02:33:13 GMT 2024","3376","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page menu and sub-menu contents on hover","","","","Navigate using in-page menu and sub-menu contents on hover",""
"passed","Thu Jul 18 02:30:47 GMT 2024","Thu Jul 18 02:30:52 GMT 2024","4811","UI","popup","","","","Check broken links returns an error 500",""
"skipped","Thu Jul 18 02:30:20 GMT 2024","Thu Jul 18 02:30:20 GMT 2024","1","CONTAINER-MSSQL","Retrieve version MSSQL","","","","Retrieve version MSSQL",""
"passed","Thu Jul 18 02:31:41 GMT 2024","Thu Jul 18 02:31:50 GMT 2024","8633","BROWSER_WINDOWS_AND_TABS","Redirection to a new tab when clicking on ""New Tab"" button","","","","Redirection to a new tab when clicking on ""New Tab"" button",""
"passed","Thu Jul 18 02:31:38 GMT 2024","Thu Jul 18 02:31:41 GMT 2024","3276","ALERT_AND_POPUP_DISPLAY","Check different modals dialogs popin are displayed","","","","Check different modals dialogs popin are displayed",""
"passed","Thu Jul 18 02:31:04 GMT 2024","Thu Jul 18 02:31:08 GMT 2024","3993","ADD_DELETE_UPDATE_WEBTABLE_DATA","Search Kierra entry in the web table","","","","Search Kierra entry in the web table",""
"unknown","Thu Jul 18 02:34:22 GMT 2024","Thu Jul 18 02:34:24 GMT 2024","2449","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by clicking on the slider bar","","","","Change input value by clicking on the slider bar",""
"passed","Thu Jul 18 02:32:28 GMT 2024","Thu Jul 18 02:32:36 GMT 2024","8179","UI","popup","","","","Check dynamic elements change properties after 5 seconds",""
"passed","Thu Jul 18 02:30:19 GMT 2024","Thu Jul 18 02:30:20 GMT 2024","204","APIs","petstore","","","","Create a new pet in petstore API",""
"unknown","Thu Jul 18 02:32:48 GMT 2024","Thu Jul 18 02:32:48 GMT 2024","2","FRAMES","Check multiple frames are displayed properly","","","","Check multiple frames are displayed properly",""
"passed","Thu Jul 18 02:30:52 GMT 2024","Thu Jul 18 02:30:57 GMT 2024","4426","ADD_DELETE_UPDATE_WEBTABLE_DATA","Add a new entry to web table","","","","Add a new entry to web table",""
"unknown","Thu Jul 18 02:34:17 GMT 2024","Thu Jul 18 02:34:19 GMT 2024","2103","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using calendar module","","","","Checking a date via date picker using calendar module",""
"passed","Thu Jul 18 02:31:31 GMT 2024","Thu Jul 18 02:31:35 GMT 2024","3622","ALERT_AND_POPUP_DISPLAY","Check different alerts popins are displayed","","","","Check different alerts popins are displayed",""
"passed","Thu Jul 18 02:30:20 GMT 2024","Thu Jul 18 02:30:22 GMT 2024","2415","UI","popup","","","","Redirection to a new page when clicking on link (tabs and windows)",""
"unknown","Thu Jul 18 02:32:48 GMT 2024","Thu Jul 18 02:32:48 GMT 2024","2","FRAMES","Check frames nested are displayed properly","","","","Check frames nested are displayed properly",""
"failed","Thu Jul 18 02:33:13 GMT 2024","Thu Jul 18 02:33:48 GMT 2024","34994","WIDGET_DISPLAY_AND_MENUS","Fill all the select fields displayed","","","","Fill all the select fields displayed",""
