"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32390","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","2026-06-04","failed","2026-06-04","","Display information tooltips on hover for designated element","",""
"","3180","Check broken links returns an error 500","UI","2026-06-04","passed","2026-06-04","","popup","",""
"","255","Delete a pet in petstore API","APIs","2026-06-04","failed","2026-06-04","","petstore","",""
"","32351","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-06-04","failed","2026-06-04","","Edit the first entry in the web table","",""
"","32482","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-06-04","failed","2026-06-04","","Delete the third entry in the web table","",""
"","32843","Redirection to a new page when clicking on link (tabs and windows)","UI","2026-06-04","failed","2026-06-04","","popup","",""
"","32419","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","2026-06-04","failed","2026-06-04","","Fill all the select fields displayed","",""
"","32279","Display button click when clicked on","UI","2026-06-04","failed","2026-06-04","","popup","",""
"","254","Rename a pet in petstore API","APIs","2026-06-04","failed","2026-06-04","","petstore","",""
"","32440","Click on ""Stop"" to stop the progress bar from filling","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-06-04","failed","2026-06-04","","Click on ""Stop"" to stop the progress bar from filling","",""
"","7046","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","2026-06-04","passed","2026-06-04","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","1885","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-06-04","unknown","2026-06-04","","Change input value by clicking on the slider bar","",""
"","32407","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-06-04","failed","2026-06-04","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","1949","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-06-04","unknown","2026-06-04","","Checking a date via date picker using calendar module","",""
"","32525","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-06-04","failed","2026-06-04","","Click on ""Start"" to fill up the progress bar","",""
"","32415","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","2026-06-04","failed","2026-06-04","","Check different alerts popins are displayed","",""
"","1","Retrieve version Mysql","CONTAINER-MYSQL","2026-06-04","skipped","2026-06-04","","Retrieve version Mysql","",""
"","32388","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-06-04","failed","2026-06-04","","Add a new entry to web table","",""
"","1870","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","2026-06-04","unknown","2026-06-04","","Open only the selected accordian section on click","",""
"","1953","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-06-04","passed","2026-06-04","","Upload a file and check file path","",""
"","1","Check frames nested are displayed properly","FRAMES","2026-06-04","unknown","2026-06-04","","Check frames nested are displayed properly","",""
"","5970","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","2026-06-04","passed","2026-06-04","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","32854","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-06-04","failed","2026-06-04","","Search Kierra entry in the web table","",""
"","32995","Drag and drop a draggable element into another","DRAG_AND_DROP","2026-06-04","failed","2026-06-04","","Drag and drop a draggable element into another","",""
"","1917","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-06-04","unknown","2026-06-04","","Change input value by moving the slider","",""
"","1","Retrieve version MSSQL","CONTAINER-MSSQL","2026-06-04","skipped","2026-06-04","","Retrieve version MSSQL","",""
"","32469","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","2026-06-04","failed","2026-06-04","","Check different modals dialogs popin are displayed","",""
"","32220","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","2026-06-04","failed","2026-06-04","","Navigate using in-page menu and sub-menu contents on hover","",""
"","258","Search a pet in petstore API","APIs","2026-06-04","failed","2026-06-04","","petstore","",""
"","32342","Display radio button text when selected","UI","2026-06-04","failed","2026-06-04","","popup","",""
"","32341","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-06-04","failed","2026-06-04","","Check suggestions when using autocomplete on input field","",""
"","312","Create a new pet in petstore API","APIs","2026-06-04","failed","2026-06-04","","petstore","",""
"","32470","Check API response by clicking on links","UI","2026-06-04","failed","2026-06-04","","popup","",""
"","1931","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-06-04","unknown","2026-06-04","","Checking a date via date picker using input field","",""
"","6162","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","2026-06-04","passed","2026-06-04","","Redirection to a new window when clicking on ""New Window"" button","",""
"","0","Check multiple frames are displayed properly","FRAMES","2026-06-04","unknown","2026-06-04","","Check multiple frames are displayed properly","",""
"","2009","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-06-04","passed","2026-06-04","","Download a file online","",""
"","1888","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","2026-06-04","unknown","2026-06-04","","Navigate using in-page tab contents on click","",""
"","32280","Fill a complete form using external json data","UI","2026-06-04","failed","2026-06-04","","popup","",""
"","32315","Display checkbox folders and sub-folders when checked","UI","2026-06-04","failed","2026-06-04","","popup","",""
"","7008","Check dynamic elements change properties after 5 seconds","UI","2026-06-04","passed","2026-06-04","","popup","",""
