"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2087","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Apr 08 03:01:15 GMT 2025","unknown","Tue Apr 08 03:01:17 GMT 2025","","Change input value by clicking on the slider bar","",""
"","4068","Redirection to a new page when clicking on link (tabs and windows)","UI","Tue Apr 08 02:57:08 GMT 2025","passed","Tue Apr 08 02:57:12 GMT 2025","","popup","",""
"","2","Retrieve version MSSQL","CONTAINER-MSSQL","Tue Apr 08 02:57:08 GMT 2025","skipped","Tue Apr 08 02:57:08 GMT 2025","","Retrieve version MSSQL","",""
"","5240","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","Tue Apr 08 03:00:01 GMT 2025","passed","Tue Apr 08 03:00:07 GMT 2025","","Navigate using in-page menu and sub-menu contents on hover","",""
"","6739","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","Tue Apr 08 02:58:45 GMT 2025","passed","Tue Apr 08 02:58:51 GMT 2025","","Redirection to a new window when clicking on ""New Window"" button","",""
"","5841","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Apr 08 02:57:50 GMT 2025","passed","Tue Apr 08 02:57:56 GMT 2025","","Edit the first entry in the web table","",""
"","4963","Click on ""Stop"" to stop the progress bar from filling","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Apr 08 03:01:22 GMT 2025","passed","Tue Apr 08 03:01:27 GMT 2025","","Click on ""Stop"" to stop the progress bar from filling","",""
"","35","Search a pet in petstore API","APIs","Tue Apr 08 02:57:08 GMT 2025","passed","Tue Apr 08 02:57:08 GMT 2025","","petstore","",""
"","2","Retrieve version Mysql","CONTAINER-MYSQL","Tue Apr 08 02:57:08 GMT 2025","skipped","Tue Apr 08 02:57:08 GMT 2025","","Retrieve version Mysql","",""
"","2057","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Apr 08 03:01:13 GMT 2025","unknown","Tue Apr 08 03:01:15 GMT 2025","","Change input value by moving the slider","",""
"","8050","Check dynamic elements change properties after 5 seconds","UI","Tue Apr 08 02:59:26 GMT 2025","passed","Tue Apr 08 02:59:34 GMT 2025","","popup","",""
"","1","Check multiple frames are displayed properly","FRAMES","Tue Apr 08 02:59:47 GMT 2025","unknown","Tue Apr 08 02:59:47 GMT 2025","","Check multiple frames are displayed properly","",""
"","26","Rename a pet in petstore API","APIs","Tue Apr 08 02:57:08 GMT 2025","passed","Tue Apr 08 02:57:08 GMT 2025","","petstore","",""
"","6029","Display checkbox folders and sub-folders when checked","UI","Tue Apr 08 02:58:58 GMT 2025","passed","Tue Apr 08 02:59:04 GMT 2025","","popup","",""
"","5212","Display button click when clicked on","UI","Tue Apr 08 02:59:21 GMT 2025","passed","Tue Apr 08 02:59:26 GMT 2025","","popup","",""
"","5237","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Apr 08 02:57:45 GMT 2025","passed","Tue Apr 08 02:57:50 GMT 2025","","Add a new entry to web table","",""
"","9023","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","Tue Apr 08 02:58:36 GMT 2025","passed","Tue Apr 08 02:58:45 GMT 2025","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","4817","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Apr 08 03:01:03 GMT 2025","passed","Tue Apr 08 03:01:08 GMT 2025","","Check suggestions when using autocomplete on input field","",""
"","2067","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","Tue Apr 08 02:59:59 GMT 2025","unknown","Tue Apr 08 03:00:01 GMT 2025","","Navigate using in-page tab contents on click","",""
"","3651","Display radio button text when selected","UI","Tue Apr 08 02:59:17 GMT 2025","passed","Tue Apr 08 02:59:21 GMT 2025","","popup","",""
"","3715","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Apr 08 02:58:06 GMT 2025","passed","Tue Apr 08 02:58:10 GMT 2025","","Download a file online","",""
"","5517","Drag and drop a draggable element into another","DRAG_AND_DROP","Tue Apr 08 02:59:34 GMT 2025","passed","Tue Apr 08 02:59:39 GMT 2025","","Drag and drop a draggable element into another","",""
"","2033","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","Tue Apr 08 02:59:51 GMT 2025","unknown","Tue Apr 08 02:59:53 GMT 2025","","Open only the selected accordian section on click","",""
"","283","Create a new pet in petstore API","APIs","Tue Apr 08 02:57:07 GMT 2025","passed","Tue Apr 08 02:57:08 GMT 2025","","petstore","",""
"","2986","Check API response by clicking on links","UI","Tue Apr 08 02:57:38 GMT 2025","passed","Tue Apr 08 02:57:41 GMT 2025","","popup","",""
"","36850","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","Tue Apr 08 03:00:07 GMT 2025","failed","Tue Apr 08 03:00:44 GMT 2025","","Fill all the select fields displayed","",""
"","4581","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Apr 08 03:01:27 GMT 2025","passed","Tue Apr 08 03:01:32 GMT 2025","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","4772","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","Tue Apr 08 03:00:58 GMT 2025","passed","Tue Apr 08 03:01:03 GMT 2025","","Display information tooltips on hover for designated element","",""
"","3782","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","Tue Apr 08 02:58:32 GMT 2025","passed","Tue Apr 08 02:58:36 GMT 2025","","Check different modals dialogs popin are displayed","",""
"","372","Delete a pet in petstore API","APIs","Tue Apr 08 02:57:08 GMT 2025","passed","Tue Apr 08 02:57:08 GMT 2025","","petstore","",""
"","4173","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Apr 08 02:57:59 GMT 2025","passed","Tue Apr 08 02:58:03 GMT 2025","","Search Kierra entry in the web table","",""
"","7583","Fill a complete form using external json data","UI","Tue Apr 08 02:59:39 GMT 2025","passed","Tue Apr 08 02:59:47 GMT 2025","","popup","",""
"","2473","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","Tue Apr 08 02:58:24 GMT 2025","passed","Tue Apr 08 02:58:27 GMT 2025","","Check different alerts popins are displayed","",""
"","5569","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Apr 08 03:01:17 GMT 2025","passed","Tue Apr 08 03:01:22 GMT 2025","","Click on ""Start"" to fill up the progress bar","",""
"","6933","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","Tue Apr 08 02:58:51 GMT 2025","passed","Tue Apr 08 02:58:58 GMT 2025","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","4137","Check broken links returns an error 500","UI","Tue Apr 08 02:57:41 GMT 2025","passed","Tue Apr 08 02:57:45 GMT 2025","","popup","",""
"","2850","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Apr 08 02:57:56 GMT 2025","passed","Tue Apr 08 02:57:59 GMT 2025","","Delete the third entry in the web table","",""
"","2197","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Apr 08 03:01:08 GMT 2025","unknown","Tue Apr 08 03:01:10 GMT 2025","","Checking a date via date picker using input field","",""
"","2459","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Apr 08 03:01:10 GMT 2025","unknown","Tue Apr 08 03:01:13 GMT 2025","","Checking a date via date picker using calendar module","",""
"","3229","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Apr 08 02:58:03 GMT 2025","passed","Tue Apr 08 02:58:06 GMT 2025","","Upload a file and check file path","",""
"","1","Check frames nested are displayed properly","FRAMES","Tue Apr 08 02:59:47 GMT 2025","unknown","Tue Apr 08 02:59:47 GMT 2025","","Check frames nested are displayed properly","",""
