"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32676","Display radio button text when selected","UI","2026-08-10","failed","2026-08-10","","popup","",""
"","32600","Display checkbox folders and sub-folders when checked","UI","2026-08-10","failed","2026-08-10","","popup","",""
"","412","Create a new pet in petstore API","APIs","2026-08-10","passed","2026-08-10","","petstore","",""
"","7408","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","2026-08-10","passed","2026-08-10","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","32763","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-10","failed","2026-08-10","","Click on ""Start"" to fill up the progress bar","",""
"","32874","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-10","failed","2026-08-10","","Edit the first entry in the web table","",""
"","32650","Drag and drop a draggable element into another","DRAG_AND_DROP","2026-08-10","failed","2026-08-10","","Drag and drop a draggable element into another","",""
"","240","Search a pet in petstore API","APIs","2026-08-10","passed","2026-08-10","","petstore","",""
"","1981","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","2026-08-10","unknown","2026-08-10","","Navigate using in-page tab contents on click","",""
"","452","Delete a pet in petstore API","APIs","2026-08-10","passed","2026-08-10","","petstore","",""
"","32802","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-10","failed","2026-08-10","","Delete the third entry in the web table","",""
"","2035","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","2026-08-10","unknown","2026-08-10","","Open only the selected accordian section on click","",""
"","7173","Check dynamic elements change properties after 5 seconds","UI","2026-08-10","passed","2026-08-10","","popup","",""
"","2","Check multiple frames are displayed properly","FRAMES","2026-08-10","unknown","2026-08-10","","Check multiple frames are displayed properly","",""
"","32811","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-10","failed","2026-08-10","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","225","Rename a pet in petstore API","APIs","2026-08-10","passed","2026-08-10","","petstore","",""
"","32603","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","2026-08-10","failed","2026-08-10","","Navigate using in-page menu and sub-menu contents on hover","",""
"","32714","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-10","failed","2026-08-10","","Check suggestions when using autocomplete on input field","",""
"","32722","Click on ""Stop"" to stop the progress bar from filling","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-10","failed","2026-08-10","","Click on ""Stop"" to stop the progress bar from filling","",""
"","2383","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-10","passed","2026-08-10","","Download a file online","",""
"","32660","Fill a complete form using external json data","UI","2026-08-10","failed","2026-08-10","","popup","",""
"","6357","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","2026-08-10","passed","2026-08-10","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","32637","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","2026-08-10","failed","2026-08-10","","Fill all the select fields displayed","",""
"","2108","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-10","unknown","2026-08-10","","Checking a date via date picker using input field","",""
"","33129","Redirection to a new page when clicking on link (tabs and windows)","UI","2026-08-10","failed","2026-08-10","","popup","",""
"","2","Check frames nested are displayed properly","FRAMES","2026-08-10","unknown","2026-08-10","","Check frames nested are displayed properly","",""
"","2043","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-10","unknown","2026-08-10","","Checking a date via date picker using calendar module","",""
"","33546","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-10","failed","2026-08-10","","Add a new entry to web table","",""
"","2052","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-10","unknown","2026-08-10","","Change input value by clicking on the slider bar","",""
"","2329","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-10","passed","2026-08-10","","Upload a file and check file path","",""
"","32714","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","2026-08-10","failed","2026-08-10","","Display information tooltips on hover for designated element","",""
"","2","Retrieve version Mysql","CONTAINER-MYSQL","2026-08-10","skipped","2026-08-10","","Retrieve version Mysql","",""
"","32850","Display button click when clicked on","UI","2026-08-10","failed","2026-08-10","","popup","",""
"","2110","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-10","unknown","2026-08-10","","Change input value by moving the slider","",""
"","32705","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-10","failed","2026-08-10","","Search Kierra entry in the web table","",""
"","32675","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","2026-08-10","failed","2026-08-10","","Check different modals dialogs popin are displayed","",""
"","6330","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","2026-08-10","passed","2026-08-10","","Redirection to a new window when clicking on ""New Window"" button","",""
"","32732","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","2026-08-10","failed","2026-08-10","","Check different alerts popins are displayed","",""
"","1","Retrieve version MSSQL","CONTAINER-MSSQL","2026-08-10","skipped","2026-08-10","","Retrieve version MSSQL","",""
"","32814","Check API response by clicking on links","UI","2026-08-10","failed","2026-08-10","","popup","",""
"","3458","Check broken links returns an error 500","UI","2026-08-10","passed","2026-08-10","","popup","",""
