"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2035","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Thu May 28 06:23:46 UTC 2026","unknown","Thu May 28 06:23:48 UTC 2026","","Checking a date via date picker using input field","",""
"","1","Retrieve version Mysql","CONTAINER-MYSQL","Thu May 28 06:05:48 UTC 2026","skipped","Thu May 28 06:05:48 UTC 2026","","Retrieve version Mysql","",""
"","6427","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","Thu May 28 06:15:33 UTC 2026","passed","Thu May 28 06:15:39 UTC 2026","","Redirection to a new window when clicking on ""New Window"" button","",""
"","32866","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","Thu May 28 06:13:47 UTC 2026","failed","Thu May 28 06:14:20 UTC 2026","","Check different alerts popins are displayed","",""
"","3","Check multiple frames are displayed properly","FRAMES","Thu May 28 06:19:43 UTC 2026","unknown","Thu May 28 06:19:43 UTC 2026","","Check multiple frames are displayed properly","",""
"","2053","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Thu May 28 06:23:52 UTC 2026","unknown","Thu May 28 06:23:54 UTC 2026","","Change input value by clicking on the slider bar","",""
"","313","Search a pet in petstore API","APIs","Thu May 28 06:05:47 UTC 2026","passed","Thu May 28 06:05:47 UTC 2026","","petstore","",""
"","32662","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","Thu May 28 06:19:56 UTC 2026","failed","Thu May 28 06:20:29 UTC 2026","","Navigate using in-page menu and sub-menu contents on hover","",""
"","32738","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","Thu May 28 06:14:52 UTC 2026","failed","Thu May 28 06:15:25 UTC 2026","","Check different modals dialogs popin are displayed","",""
"","2419","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","Thu May 28 06:12:30 UTC 2026","passed","Thu May 28 06:12:33 UTC 2026","","Download a file online","",""
"","32856","Display button click when clicked on","UI","Thu May 28 06:17:58 UTC 2026","failed","Thu May 28 06:18:30 UTC 2026","","popup","",""
"","1825","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Thu May 28 06:23:50 UTC 2026","unknown","Thu May 28 06:23:52 UTC 2026","","Change input value by moving the slider","",""
"","32905","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Thu May 28 06:10:16 UTC 2026","failed","Thu May 28 06:10:49 UTC 2026","","Add a new entry to web table","",""
"","2502","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","Thu May 28 06:12:28 UTC 2026","passed","Thu May 28 06:12:30 UTC 2026","","Upload a file and check file path","",""
