"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3993","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Nov 21 03:07:55 UTC 2025","passed","Fri Nov 21 03:07:59 UTC 2025","","Search Kierra entry in the web table","",""
"","2974","Display radio button text when selected","UI","Fri Nov 21 03:09:46 UTC 2025","passed","Fri Nov 21 03:09:48 UTC 2025","","popup","",""
"","3313","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Nov 21 03:07:59 UTC 2025","passed","Fri Nov 21 03:08:02 UTC 2025","","Upload a file and check file path","",""
"","3988","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Nov 21 03:12:15 UTC 2025","passed","Fri Nov 21 03:12:19 UTC 2025","","Click on ""Start"" to fill up the progress bar","",""
"","4169","Redirection to a new page when clicking on link (tabs and windows)","UI","Fri Nov 21 03:06:46 UTC 2025","passed","Fri Nov 21 03:06:50 UTC 2025","","popup","",""
"","1","Check multiple frames are displayed properly","FRAMES","Fri Nov 21 03:10:20 UTC 2025","unknown","Fri Nov 21 03:10:20 UTC 2025","","Check multiple frames are displayed properly","",""
"","2392","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Nov 21 03:12:10 UTC 2025","unknown","Fri Nov 21 03:12:12 UTC 2025","","Change input value by moving the slider","",""
"","3353","Check API response by clicking on links","UI","Fri Nov 21 03:07:31 UTC 2025","passed","Fri Nov 21 03:07:34 UTC 2025","","popup","",""
"","4663","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","Fri Nov 21 03:11:51 UTC 2025","passed","Fri Nov 21 03:11:55 UTC 2025","","Display information tooltips on hover for designated element","",""
"","4741","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","Fri Nov 21 03:10:39 UTC 2025","passed","Fri Nov 21 03:10:44 UTC 2025","","Navigate using in-page menu and sub-menu contents on hover","",""
"","7662","Click on ""Stop"" to stop the progress bar from filling","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Nov 21 03:12:19 UTC 2025","passed","Fri Nov 21 03:12:26 UTC 2025","","Click on ""Stop"" to stop the progress bar from filling","",""
"","1","Retrieve version MSSQL","CONTAINER-MSSQL","Fri Nov 21 03:06:45 UTC 2025","skipped","Fri Nov 21 03:06:45 UTC 2025","","Retrieve version MSSQL","",""
