"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","136","Create a new pet in petstore API","APIs","Tue Aug 05 03:43:02 GMT 2025","passed","Tue Aug 05 03:43:02 GMT 2025","","petstore","",""
"","35395","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","Tue Aug 05 03:45:37 GMT 2025","failed","Tue Aug 05 03:46:13 GMT 2025","","Fill all the select fields displayed","",""
"","4104","Check broken links returns an error 500","UI","Tue Aug 05 03:43:28 GMT 2025","passed","Tue Aug 05 03:43:32 GMT 2025","","popup","",""
"","2914","Check API response by clicking on links","UI","Tue Aug 05 03:43:25 GMT 2025","passed","Tue Aug 05 03:43:28 GMT 2025","","popup","",""
"","111","Search a pet in petstore API","APIs","Tue Aug 05 03:43:02 GMT 2025","passed","Tue Aug 05 03:43:02 GMT 2025","","petstore","",""
"","1","Check frames nested are displayed properly","FRAMES","Tue Aug 05 03:45:19 GMT 2025","unknown","Tue Aug 05 03:45:19 GMT 2025","","Check frames nested are displayed properly","",""
"","2085","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","Tue Aug 05 03:45:31 GMT 2025","unknown","Tue Aug 05 03:45:34 GMT 2025","","Navigate using in-page tab contents on click","",""
"","8103","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","Tue Aug 05 03:44:17 GMT 2025","passed","Tue Aug 05 03:44:25 GMT 2025","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","2073","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","Tue Aug 05 03:45:23 GMT 2025","unknown","Tue Aug 05 03:45:25 GMT 2025","","Open only the selected accordian section on click","",""
"","3744","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Aug 05 03:43:32 GMT 2025","passed","Tue Aug 05 03:43:36 GMT 2025","","Add a new entry to web table","",""
"","60","Rename a pet in petstore API","APIs","Tue Aug 05 03:43:02 GMT 2025","passed","Tue Aug 05 03:43:02 GMT 2025","","petstore","",""
"","3280","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Aug 05 03:43:50 GMT 2025","passed","Tue Aug 05 03:43:53 GMT 2025","","Download a file online","",""
"","3872","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","Tue Aug 05 03:45:34 GMT 2025","passed","Tue Aug 05 03:45:37 GMT 2025","","Navigate using in-page menu and sub-menu contents on hover","",""
"","2206","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Aug 05 03:46:37 GMT 2025","unknown","Tue Aug 05 03:46:39 GMT 2025","","Change input value by clicking on the slider bar","",""
"","2144","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Aug 05 03:46:30 GMT 2025","unknown","Tue Aug 05 03:46:32 GMT 2025","","Checking a date via date picker using input field","",""
"","1","Check multiple frames are displayed properly","FRAMES","Tue Aug 05 03:45:19 GMT 2025","unknown","Tue Aug 05 03:45:19 GMT 2025","","Check multiple frames are displayed properly","",""
