"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6313","Fill a complete form using external json data","UI","Tue Feb 11 02:46:59 GMT 2025","passed","Tue Feb 11 02:47:06 GMT 2025","","popup","",""
"","443","Delete a pet in petstore API","APIs","Tue Feb 11 02:43:50 GMT 2025","passed","Tue Feb 11 02:43:50 GMT 2025","","petstore","",""
"","5231","Display checkbox folders and sub-folders when checked","UI","Tue Feb 11 02:46:09 GMT 2025","passed","Tue Feb 11 02:46:14 GMT 2025","","popup","",""
"","2","Check multiple frames are displayed properly","FRAMES","Tue Feb 11 02:47:06 GMT 2025","unknown","Tue Feb 11 02:47:06 GMT 2025","","Check multiple frames are displayed properly","",""
"","279","Create a new pet in petstore API","APIs","Tue Feb 11 02:43:49 GMT 2025","passed","Tue Feb 11 02:43:49 GMT 2025","","petstore","",""
"","2810","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Feb 11 02:49:02 GMT 2025","unknown","Tue Feb 11 02:49:05 GMT 2025","","Change input value by clicking on the slider bar","",""
"","4558","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","Tue Feb 11 02:48:45 GMT 2025","passed","Tue Feb 11 02:48:50 GMT 2025","","Display information tooltips on hover for designated element","",""
"","4440","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Feb 11 02:44:45 GMT 2025","passed","Tue Feb 11 02:44:49 GMT 2025","","Edit the first entry in the web table","",""
"","4026","Click on ""Stop"" to stop the progress bar from filling","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Feb 11 02:49:09 GMT 2025","passed","Tue Feb 11 02:49:13 GMT 2025","","Click on ""Stop"" to stop the progress bar from filling","",""
"","2637","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Feb 11 02:49:00 GMT 2025","unknown","Tue Feb 11 02:49:02 GMT 2025","","Change input value by moving the slider","",""
"","35433","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","Tue Feb 11 02:47:57 GMT 2025","failed","Tue Feb 11 02:48:32 GMT 2025","","Fill all the select fields displayed","",""
"","4370","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Feb 11 02:45:00 GMT 2025","passed","Tue Feb 11 02:45:04 GMT 2025","","Upload a file and check file path","",""
"","10347","Check broken links returns an error 500","UI","Tue Feb 11 02:44:31 GMT 2025","passed","Tue Feb 11 02:44:41 GMT 2025","","popup","",""
"","8190","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","Tue Feb 11 02:45:53 GMT 2025","passed","Tue Feb 11 02:46:01 GMT 2025","","Redirection to a new window when clicking on ""New Window"" button","",""
"","4158","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Feb 11 02:45:04 GMT 2025","passed","Tue Feb 11 02:45:08 GMT 2025","","Download a file online","",""
"","3323","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Feb 11 02:48:54 GMT 2025","unknown","Tue Feb 11 02:48:57 GMT 2025","","Checking a date via date picker using input field","",""
"","9273","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","Tue Feb 11 02:47:11 GMT 2025","unknown","Tue Feb 11 02:47:20 GMT 2025","","Open only the selected accordian section on click","",""
"","115","Search a pet in petstore API","APIs","Tue Feb 11 02:43:49 GMT 2025","passed","Tue Feb 11 02:43:50 GMT 2025","","petstore","",""
"","4023","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Feb 11 02:44:41 GMT 2025","passed","Tue Feb 11 02:44:45 GMT 2025","","Add a new entry to web table","",""
"","4046","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Feb 11 02:49:05 GMT 2025","passed","Tue Feb 11 02:49:09 GMT 2025","","Click on ""Start"" to fill up the progress bar","",""
"","8984","Check dynamic elements change properties after 5 seconds","UI","Tue Feb 11 02:46:46 GMT 2025","passed","Tue Feb 11 02:46:55 GMT 2025","","popup","",""
"","7836","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","Tue Feb 11 02:46:01 GMT 2025","passed","Tue Feb 11 02:46:09 GMT 2025","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","4160","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","Tue Feb 11 02:45:40 GMT 2025","passed","Tue Feb 11 02:45:44 GMT 2025","","Check different modals dialogs popin are displayed","",""
"","3600","Display radio button text when selected","UI","Tue Feb 11 02:46:37 GMT 2025","passed","Tue Feb 11 02:46:41 GMT 2025","","popup","",""
"","4659","Display button click when clicked on","UI","Tue Feb 11 02:46:41 GMT 2025","passed","Tue Feb 11 02:46:46 GMT 2025","","popup","",""
"","1","Retrieve version MSSQL","CONTAINER-MSSQL","Tue Feb 11 02:43:50 GMT 2025","skipped","Tue Feb 11 02:43:50 GMT 2025","","Retrieve version MSSQL","",""
"","6228","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Feb 11 02:44:49 GMT 2025","passed","Tue Feb 11 02:44:56 GMT 2025","","Delete the third entry in the web table","",""
"","114","Rename a pet in petstore API","APIs","Tue Feb 11 02:43:50 GMT 2025","passed","Tue Feb 11 02:43:50 GMT 2025","","petstore","",""
"","1","Check frames nested are displayed properly","FRAMES","Tue Feb 11 02:47:06 GMT 2025","unknown","Tue Feb 11 02:47:06 GMT 2025","","Check frames nested are displayed properly","",""
"","4610","Drag and drop a draggable element into another","DRAG_AND_DROP","Tue Feb 11 02:46:55 GMT 2025","passed","Tue Feb 11 02:46:59 GMT 2025","","Drag and drop a draggable element into another","",""
"","8008","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","Tue Feb 11 02:47:34 GMT 2025","unknown","Tue Feb 11 02:47:42 GMT 2025","","Navigate using in-page tab contents on click","",""
"","8740","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","Tue Feb 11 02:45:44 GMT 2025","passed","Tue Feb 11 02:45:53 GMT 2025","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","14868","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","Tue Feb 11 02:47:42 GMT 2025","passed","Tue Feb 11 02:47:57 GMT 2025","","Navigate using in-page menu and sub-menu contents on hover","",""
"","4060","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Tue Feb 11 02:44:56 GMT 2025","passed","Tue Feb 11 02:45:00 GMT 2025","","Search Kierra entry in the web table","",""
"","3772","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Feb 11 02:48:50 GMT 2025","passed","Tue Feb 11 02:48:54 GMT 2025","","Check suggestions when using autocomplete on input field","",""
"","3529","Redirection to a new page when clicking on link (tabs and windows)","UI","Tue Feb 11 02:43:50 GMT 2025","passed","Tue Feb 11 02:43:54 GMT 2025","","popup","",""
"","11076","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","Tue Feb 11 02:45:25 GMT 2025","passed","Tue Feb 11 02:45:36 GMT 2025","","Check different alerts popins are displayed","",""
"","15274","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Feb 11 02:49:13 GMT 2025","passed","Tue Feb 11 02:49:28 GMT 2025","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","1","Retrieve version Mysql","CONTAINER-MYSQL","Tue Feb 11 02:43:50 GMT 2025","skipped","Tue Feb 11 02:43:50 GMT 2025","","Retrieve version Mysql","",""
"","2760","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Tue Feb 11 02:48:57 GMT 2025","unknown","Tue Feb 11 02:49:00 GMT 2025","","Checking a date via date picker using calendar module","",""
"","4311","Check API response by clicking on links","UI","Tue Feb 11 02:44:26 GMT 2025","passed","Tue Feb 11 02:44:31 GMT 2025","","popup","",""
