"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8870","Click on ""Stop"" to stop the progress bar from filling","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Jan 02 03:34:46 UTC 2026","passed","Fri Jan 02 03:34:55 UTC 2026","","Click on ""Stop"" to stop the progress bar from filling","",""
"","219","Rename a pet in petstore API","APIs","Fri Jan 02 03:26:01 UTC 2026","passed","Fri Jan 02 03:26:02 UTC 2026","","petstore","",""
"","3","Check frames nested are displayed properly","FRAMES","Fri Jan 02 03:31:36 UTC 2026","unknown","Fri Jan 02 03:31:36 UTC 2026","","Check frames nested are displayed properly","",""
"","5872","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","Fri Jan 02 03:34:10 UTC 2026","passed","Fri Jan 02 03:34:15 UTC 2026","","Display information tooltips on hover for designated element","",""
"","5003","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Jan 02 03:34:21 UTC 2026","unknown","Fri Jan 02 03:34:26 UTC 2026","","Checking a date via date picker using input field","",""
"","283","Search a pet in petstore API","APIs","Fri Jan 02 03:26:01 UTC 2026","passed","Fri Jan 02 03:26:01 UTC 2026","","petstore","",""
"","4849","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Jan 02 03:34:35 UTC 2026","unknown","Fri Jan 02 03:34:40 UTC 2026","","Change input value by clicking on the slider bar","",""
"","7748","Drag and drop a draggable element into another","DRAG_AND_DROP","Fri Jan 02 03:31:15 UTC 2026","passed","Fri Jan 02 03:31:23 UTC 2026","","Drag and drop a draggable element into another","",""
"","10929","Check dynamic elements change properties after 5 seconds","UI","Fri Jan 02 03:31:04 UTC 2026","passed","Fri Jan 02 03:31:15 UTC 2026","","popup","",""
"","9450","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Jan 02 03:27:32 UTC 2026","passed","Fri Jan 02 03:27:41 UTC 2026","","Edit the first entry in the web table","",""
"","31002","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","Fri Jan 02 03:29:27 UTC 2026","failed","Fri Jan 02 03:29:58 UTC 2026","","Redirection to a new window when clicking on ""New Window"" button","",""
"","6612","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","Fri Jan 02 03:29:08 UTC 2026","passed","Fri Jan 02 03:29:14 UTC 2026","","Check different modals dialogs popin are displayed","",""
"","7139","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Jan 02 03:34:55 UTC 2026","passed","Fri Jan 02 03:35:02 UTC 2026","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","5337","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Jan 02 03:27:47 UTC 2026","passed","Fri Jan 02 03:27:52 UTC 2026","","Search Kierra entry in the web table","",""
"","30867","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","Fri Jan 02 03:29:58 UTC 2026","failed","Fri Jan 02 03:30:29 UTC 2026","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","9585","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","Fri Jan 02 03:32:37 UTC 2026","passed","Fri Jan 02 03:32:47 UTC 2026","","Navigate using in-page menu and sub-menu contents on hover","",""
"","508","Delete a pet in petstore API","APIs","Fri Jan 02 03:26:02 UTC 2026","passed","Fri Jan 02 03:26:02 UTC 2026","","petstore","",""
"","12397","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","Fri Jan 02 03:29:14 UTC 2026","passed","Fri Jan 02 03:29:27 UTC 2026","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","4673","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","Fri Jan 02 03:32:33 UTC 2026","unknown","Fri Jan 02 03:32:37 UTC 2026","","Navigate using in-page tab contents on click","",""
"","1","Check multiple frames are displayed properly","FRAMES","Fri Jan 02 03:31:36 UTC 2026","unknown","Fri Jan 02 03:31:36 UTC 2026","","Check multiple frames are displayed properly","",""
"","5571","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Jan 02 03:34:16 UTC 2026","passed","Fri Jan 02 03:34:21 UTC 2026","","Check suggestions when using autocomplete on input field","",""
"","8859","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","Fri Jan 02 03:28:50 UTC 2026","passed","Fri Jan 02 03:28:59 UTC 2026","","Check different alerts popins are displayed","",""
"","30911","Check broken links returns an error 500","UI","Fri Jan 02 03:26:52 UTC 2026","failed","Fri Jan 02 03:27:23 UTC 2026","","popup","",""
"","8066","Display button click when clicked on","UI","Fri Jan 02 03:30:56 UTC 2026","passed","Fri Jan 02 03:31:04 UTC 2026","","popup","",""
"","4743","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Jan 02 03:34:26 UTC 2026","unknown","Fri Jan 02 03:34:31 UTC 2026","","Checking a date via date picker using calendar module","",""
"","4771","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","Fri Jan 02 03:31:46 UTC 2026","unknown","Fri Jan 02 03:31:51 UTC 2026","","Open only the selected accordian section on click","",""
"","5596","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Jan 02 03:27:41 UTC 2026","passed","Fri Jan 02 03:27:47 UTC 2026","","Delete the third entry in the web table","",""
"","4176","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Jan 02 03:34:31 UTC 2026","unknown","Fri Jan 02 03:34:35 UTC 2026","","Change input value by moving the slider","",""
"","1","Retrieve version MSSQL","CONTAINER-MSSQL","Fri Jan 02 03:26:02 UTC 2026","skipped","Fri Jan 02 03:26:02 UTC 2026","","Retrieve version MSSQL","",""
"","30887","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Jan 02 03:27:52 UTC 2026","failed","Fri Jan 02 03:28:23 UTC 2026","","Upload a file and check file path","",""
