"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4493","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Mar 19 02:55:36 GMT 2025","passed","Wed Mar 19 02:55:40 GMT 2025","","Download a file online","",""
"","6499","Drag and drop a draggable element into another","DRAG_AND_DROP","Wed Mar 19 02:57:11 GMT 2025","passed","Wed Mar 19 02:57:18 GMT 2025","","Drag and drop a draggable element into another","",""
"","9236","Check dynamic elements change properties after 5 seconds","UI","Wed Mar 19 02:57:02 GMT 2025","passed","Wed Mar 19 02:57:11 GMT 2025","","popup","",""
"","227","Rename a pet in petstore API","APIs","Wed Mar 19 02:54:12 GMT 2025","passed","Wed Mar 19 02:54:12 GMT 2025","","petstore","",""
"","5847","Display checkbox folders and sub-folders when checked","UI","Wed Mar 19 02:56:39 GMT 2025","passed","Wed Mar 19 02:56:45 GMT 2025","","popup","",""
"","9112","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","Wed Mar 19 02:56:22 GMT 2025","passed","Wed Mar 19 02:56:31 GMT 2025","","Redirection to a new window when clicking on ""New Window"" button","",""
"","35660","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","Wed Mar 19 02:57:53 GMT 2025","failed","Wed Mar 19 02:58:28 GMT 2025","","Fill all the select fields displayed","",""
"","5518","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","Wed Mar 19 02:56:07 GMT 2025","passed","Wed Mar 19 02:56:13 GMT 2025","","Check different modals dialogs popin are displayed","",""
"","8272","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","Wed Mar 19 02:56:31 GMT 2025","passed","Wed Mar 19 02:56:39 GMT 2025","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","4373","Redirection to a new page when clicking on link (tabs and windows)","UI","Wed Mar 19 02:54:13 GMT 2025","passed","Wed Mar 19 02:54:17 GMT 2025","","popup","",""
"","4415","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 19 02:58:47 GMT 2025","passed","Wed Mar 19 02:58:52 GMT 2025","","Check suggestions when using autocomplete on input field","",""
"","4765","Click on ""Stop"" to stop the progress bar from filling","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 19 02:59:10 GMT 2025","passed","Wed Mar 19 02:59:15 GMT 2025","","Click on ""Stop"" to stop the progress bar from filling","",""
"","4523","Display button click when clicked on","UI","Wed Mar 19 02:56:57 GMT 2025","passed","Wed Mar 19 02:57:02 GMT 2025","","popup","",""
"","4612","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","Wed Mar 19 02:57:48 GMT 2025","passed","Wed Mar 19 02:57:53 GMT 2025","","Navigate using in-page menu and sub-menu contents on hover","",""
"","3118","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 19 02:58:59 GMT 2025","unknown","Wed Mar 19 02:59:02 GMT 2025","","Change input value by moving the slider","",""
"","1","Retrieve version MSSQL","CONTAINER-MSSQL","Wed Mar 19 02:54:13 GMT 2025","skipped","Wed Mar 19 02:54:13 GMT 2025","","Retrieve version MSSQL","",""
"","323","Search a pet in petstore API","APIs","Wed Mar 19 02:54:11 GMT 2025","passed","Wed Mar 19 02:54:12 GMT 2025","","petstore","",""
"","1","Check multiple frames are displayed properly","FRAMES","Wed Mar 19 02:57:24 GMT 2025","unknown","Wed Mar 19 02:57:24 GMT 2025","","Check multiple frames are displayed properly","",""
"","5771","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Mar 19 02:54:57 GMT 2025","passed","Wed Mar 19 02:55:03 GMT 2025","","Add a new entry to web table","",""
"","4371","Check API response by clicking on links","UI","Wed Mar 19 02:54:46 GMT 2025","passed","Wed Mar 19 02:54:50 GMT 2025","","popup","",""
"","4203","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Mar 19 02:55:08 GMT 2025","passed","Wed Mar 19 02:55:12 GMT 2025","","Delete the third entry in the web table","",""
"","6409","Fill a complete form using external json data","UI","Wed Mar 19 02:57:18 GMT 2025","passed","Wed Mar 19 02:57:24 GMT 2025","","popup","",""
"","1","Retrieve version Mysql","CONTAINER-MYSQL","Wed Mar 19 02:54:13 GMT 2025","skipped","Wed Mar 19 02:54:13 GMT 2025","","Retrieve version Mysql","",""
"","4429","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 19 02:59:05 GMT 2025","passed","Wed Mar 19 02:59:10 GMT 2025","","Click on ""Start"" to fill up the progress bar","",""
"","4225","Display radio button text when selected","UI","Wed Mar 19 02:56:53 GMT 2025","passed","Wed Mar 19 02:56:57 GMT 2025","","popup","",""
"","5213","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Mar 19 02:55:03 GMT 2025","passed","Wed Mar 19 02:55:08 GMT 2025","","Edit the first entry in the web table","",""
"","3176","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 19 02:59:02 GMT 2025","unknown","Wed Mar 19 02:59:05 GMT 2025","","Change input value by clicking on the slider bar","",""
"","3116","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","Wed Mar 19 02:57:45 GMT 2025","unknown","Wed Mar 19 02:57:48 GMT 2025","","Navigate using in-page tab contents on click","",""
"","4150","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","Wed Mar 19 02:55:58 GMT 2025","passed","Wed Mar 19 02:56:02 GMT 2025","","Check different alerts popins are displayed","",""
"","4849","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 19 02:59:15 GMT 2025","passed","Wed Mar 19 02:59:19 GMT 2025","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","9124","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","Wed Mar 19 02:56:13 GMT 2025","passed","Wed Mar 19 02:56:22 GMT 2025","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","18070","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Mar 19 02:55:17 GMT 2025","passed","Wed Mar 19 02:55:36 GMT 2025","","Upload a file and check file path","",""
"","4048","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 19 02:58:55 GMT 2025","unknown","Wed Mar 19 02:58:59 GMT 2025","","Checking a date via date picker using calendar module","",""
"","5374","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","Wed Mar 19 02:58:42 GMT 2025","passed","Wed Mar 19 02:58:47 GMT 2025","","Display information tooltips on hover for designated element","",""
"","1","Check frames nested are displayed properly","FRAMES","Wed Mar 19 02:57:24 GMT 2025","unknown","Wed Mar 19 02:57:24 GMT 2025","","Check frames nested are displayed properly","",""
"","3936","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","Wed Mar 19 02:57:30 GMT 2025","unknown","Wed Mar 19 02:57:34 GMT 2025","","Open only the selected accordian section on click","",""
"","627","Delete a pet in petstore API","APIs","Wed Mar 19 02:54:12 GMT 2025","passed","Wed Mar 19 02:54:13 GMT 2025","","petstore","",""
"","6717","Check broken links returns an error 500","UI","Wed Mar 19 02:54:50 GMT 2025","passed","Wed Mar 19 02:54:57 GMT 2025","","popup","",""
