"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3863","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Thu May 15 03:11:41 GMT 2025","passed","Thu May 15 03:11:45 GMT 2025","","Click on ""Start"" to fill up the progress bar","",""
"","3027","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","Thu May 15 03:07:13 GMT 2025","passed","Thu May 15 03:07:17 GMT 2025","","Upload a file and check file path","",""
"","6712","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","Thu May 15 03:07:54 GMT 2025","passed","Thu May 15 03:08:01 GMT 2025","","Redirection to a new window when clicking on ""New Window"" button","",""
"","2448","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Thu May 15 03:11:39 GMT 2025","unknown","Thu May 15 03:11:41 GMT 2025","","Change input value by clicking on the slider bar","",""
"","34627","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","Thu May 15 03:09:33 GMT 2025","failed","Thu May 15 03:10:08 GMT 2025","","Navigate using in-page menu and sub-menu contents on hover","",""
"","2026","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","Thu May 15 03:08:55 GMT 2025","unknown","Thu May 15 03:08:57 GMT 2025","","Open only the selected accordian section on click","",""
"","7420","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","Thu May 15 03:08:01 GMT 2025","passed","Thu May 15 03:08:08 GMT 2025","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","2019","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Thu May 15 03:11:35 GMT 2025","unknown","Thu May 15 03:11:37 GMT 2025","","Checking a date via date picker using calendar module","",""
"","64","Search a pet in petstore API","APIs","Thu May 15 03:06:26 GMT 2025","passed","Thu May 15 03:06:26 GMT 2025","","petstore","",""
"","1994","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","Thu May 15 03:09:31 GMT 2025","unknown","Thu May 15 03:09:33 GMT 2025","","Navigate using in-page tab contents on click","",""
"","2655","Display radio button text when selected","UI","Thu May 15 03:08:25 GMT 2025","passed","Thu May 15 03:08:28 GMT 2025","","popup","",""
"","4955","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Thu May 15 03:06:56 GMT 2025","passed","Thu May 15 03:07:01 GMT 2025","","Add a new entry to web table","",""
"","3075","Click on ""Stop"" to stop the progress bar from filling","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Thu May 15 03:11:45 GMT 2025","passed","Thu May 15 03:11:48 GMT 2025","","Click on ""Stop"" to stop the progress bar from filling","",""
"","3269","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Thu May 15 03:07:10 GMT 2025","passed","Thu May 15 03:07:13 GMT 2025","","Search Kierra entry in the web table","",""
"","5046","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Thu May 15 03:07:01 GMT 2025","passed","Thu May 15 03:07:06 GMT 2025","","Edit the first entry in the web table","",""
"","4625","Drag and drop a draggable element into another","DRAG_AND_DROP","Thu May 15 03:08:39 GMT 2025","passed","Thu May 15 03:08:44 GMT 2025","","Drag and drop a draggable element into another","",""
"","3575","Display button click when clicked on","UI","Thu May 15 03:08:28 GMT 2025","passed","Thu May 15 03:08:32 GMT 2025","","popup","",""
"","40","Rename a pet in petstore API","APIs","Thu May 15 03:06:26 GMT 2025","passed","Thu May 15 03:06:26 GMT 2025","","petstore","",""
"","5356","Display checkbox folders and sub-folders when checked","UI","Thu May 15 03:08:08 GMT 2025","passed","Thu May 15 03:08:13 GMT 2025","","popup","",""
"","137","Delete a pet in petstore API","APIs","Thu May 15 03:06:26 GMT 2025","failed","Thu May 15 03:06:26 GMT 2025","","petstore","",""
"","1","Check frames nested are displayed properly","FRAMES","Thu May 15 03:08:50 GMT 2025","unknown","Thu May 15 03:08:50 GMT 2025","","Check frames nested are displayed properly","",""
"","5993","Fill a complete form using external json data","UI","Thu May 15 03:08:44 GMT 2025","passed","Thu May 15 03:08:50 GMT 2025","","popup","",""
"","94","Create a new pet in petstore API","APIs","Thu May 15 03:06:25 GMT 2025","passed","Thu May 15 03:06:26 GMT 2025","","petstore","",""
"","2782","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","Thu May 15 03:07:35 GMT 2025","passed","Thu May 15 03:07:38 GMT 2025","","Check different alerts popins are displayed","",""
"","35598","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","Thu May 15 03:10:08 GMT 2025","failed","Thu May 15 03:10:43 GMT 2025","","Fill all the select fields displayed","",""
"","2037","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Thu May 15 03:11:37 GMT 2025","unknown","Thu May 15 03:11:39 GMT 2025","","Change input value by moving the slider","",""
"","3491","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Thu May 15 03:11:48 GMT 2025","passed","Thu May 15 03:11:52 GMT 2025","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","8561","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","Thu May 15 03:07:45 GMT 2025","passed","Thu May 15 03:07:54 GMT 2025","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","4132","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","Thu May 15 03:07:41 GMT 2025","passed","Thu May 15 03:07:45 GMT 2025","","Check different modals dialogs popin are displayed","",""
"","7763","Check dynamic elements change properties after 5 seconds","UI","Thu May 15 03:08:32 GMT 2025","passed","Thu May 15 03:08:39 GMT 2025","","popup","",""
"","3857","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","Thu May 15 03:11:25 GMT 2025","passed","Thu May 15 03:11:29 GMT 2025","","Display information tooltips on hover for designated element","",""
"","4025","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Thu May 15 03:11:29 GMT 2025","passed","Thu May 15 03:11:33 GMT 2025","","Check suggestions when using autocomplete on input field","",""
