"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32140","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","Wed Mar 11 04:14:00 UTC 2026","failed","Wed Mar 11 04:14:32 UTC 2026","","Check different modals dialogs popin are displayed","",""
"","1437","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 11 04:22:07 UTC 2026","unknown","Wed Mar 11 04:22:09 UTC 2026","","Checking a date via date picker using input field","",""
"","1","Retrieve version Mysql","CONTAINER-MYSQL","Wed Mar 11 04:04:43 UTC 2026","skipped","Wed Mar 11 04:04:43 UTC 2026","","Retrieve version Mysql","",""
"","32510","Display button click when clicked on","UI","Wed Mar 11 04:16:29 UTC 2026","failed","Wed Mar 11 04:17:01 UTC 2026","","popup","",""
"","32157","Display checkbox folders and sub-folders when checked","UI","Wed Mar 11 04:14:50 UTC 2026","failed","Wed Mar 11 04:15:22 UTC 2026","","popup","",""
"","1","Retrieve version MSSQL","CONTAINER-MSSQL","Wed Mar 11 04:04:43 UTC 2026","skipped","Wed Mar 11 04:04:43 UTC 2026","","Retrieve version MSSQL","",""
"","1390","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 11 04:22:09 UTC 2026","unknown","Wed Mar 11 04:22:10 UTC 2026","","Checking a date via date picker using calendar module","",""
"","32276","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Mar 11 04:10:43 UTC 2026","failed","Wed Mar 11 04:11:15 UTC 2026","","Search Kierra entry in the web table","",""
"","32223","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 11 04:21:35 UTC 2026","failed","Wed Mar 11 04:22:07 UTC 2026","","Check suggestions when using autocomplete on input field","",""
"","32250","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Mar 11 04:22:13 UTC 2026","failed","Wed Mar 11 04:22:45 UTC 2026","","Click on ""Start"" to fill up the progress bar","",""
"","1","Check frames nested are displayed properly","FRAMES","Wed Mar 11 04:18:12 UTC 2026","unknown","Wed Mar 11 04:18:12 UTC 2026","","Check frames nested are displayed properly","",""
"","32172","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Mar 11 04:09:06 UTC 2026","failed","Wed Mar 11 04:09:38 UTC 2026","","Add a new entry to web table","",""
"","32550","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Mar 11 04:10:10 UTC 2026","failed","Wed Mar 11 04:10:43 UTC 2026","","Delete the third entry in the web table","",""
