"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","122","Rename a pet in petstore API","APIs","2026-07-23","passed","2026-07-23","","petstore","",""
"","32494","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-07-23","failed","2026-07-23","","Search Kierra entry in the web table","",""
"","32593","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-07-23","failed","2026-07-23","","Delete the third entry in the web table","",""
"","1800","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-07-23","unknown","2026-07-23","","Change input value by moving the slider","",""
"","5997","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","2026-07-23","passed","2026-07-23","","Redirection to a new window when clicking on ""New Window"" button","",""
"","32528","Check API response by clicking on links","UI","2026-07-23","failed","2026-07-23","","popup","",""
"","2945","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-07-23","passed","2026-07-23","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","1731","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","2026-07-23","unknown","2026-07-23","","Open only the selected accordian section on click","",""
"","0","Check frames nested are displayed properly","FRAMES","2026-07-23","unknown","2026-07-23","","Check frames nested are displayed properly","",""
"","32403","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-07-23","failed","2026-07-23","","Click on ""Start"" to fill up the progress bar","",""
"","1770","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-07-23","passed","2026-07-23","","Download a file online","",""
"","32341","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","2026-07-23","failed","2026-07-23","","Fill all the select fields displayed","",""
"","319","Delete a pet in petstore API","APIs","2026-07-23","passed","2026-07-23","","petstore","",""
"","32417","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","2026-07-23","failed","2026-07-23","","Display information tooltips on hover for designated element","",""
"","32399","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-07-23","failed","2026-07-23","","Edit the first entry in the web table","",""
"","2979","Check broken links returns an error 500","UI","2026-07-23","passed","2026-07-23","","popup","",""
"","32431","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","2026-07-23","failed","2026-07-23","","Check different alerts popins are displayed","",""
"","32821","Redirection to a new page when clicking on link (tabs and windows)","UI","2026-07-23","failed","2026-07-23","","popup","",""
"","33426","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","2026-07-23","failed","2026-07-23","","Check different modals dialogs popin are displayed","",""
"","32512","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-07-23","failed","2026-07-23","","Check suggestions when using autocomplete on input field","",""
"","6944","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","2026-07-23","passed","2026-07-23","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","1686","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-07-23","unknown","2026-07-23","","Change input value by clicking on the slider bar","",""
"","373","Create a new pet in petstore API","APIs","2026-07-23","passed","2026-07-23","","petstore","",""
"","32291","Display radio button text when selected","UI","2026-07-23","failed","2026-07-23","","popup","",""
"","2539","Display button click when clicked on","UI","2026-07-23","passed","2026-07-23","","popup","",""
