"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3018","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Jun 04 03:17:50 GMT 2025","unknown","Wed Jun 04 03:17:53 GMT 2025","","Change input value by moving the slider","",""
"","18528","Check dynamic elements change properties after 5 seconds","UI","Wed Jun 04 03:15:04 GMT 2025","passed","Wed Jun 04 03:15:23 GMT 2025","","popup","",""
"","7524","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","Wed Jun 04 03:14:26 GMT 2025","passed","Wed Jun 04 03:14:33 GMT 2025","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","37","Rename a pet in petstore API","APIs","Wed Jun 04 03:12:54 GMT 2025","passed","Wed Jun 04 03:12:54 GMT 2025","","petstore","",""
"","6512","Fill a complete form using external json data","UI","Wed Jun 04 03:15:28 GMT 2025","passed","Wed Jun 04 03:15:35 GMT 2025","","popup","",""
"","214","Create a new pet in petstore API","APIs","Wed Jun 04 03:12:54 GMT 2025","passed","Wed Jun 04 03:12:54 GMT 2025","","petstore","",""
"","35780","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","Wed Jun 04 03:16:53 GMT 2025","failed","Wed Jun 04 03:17:29 GMT 2025","","Fill all the select fields displayed","",""
"","4483","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Jun 04 03:13:25 GMT 2025","passed","Wed Jun 04 03:13:29 GMT 2025","","Add a new entry to web table","",""
"","3202","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Jun 04 03:13:39 GMT 2025","passed","Wed Jun 04 03:13:42 GMT 2025","","Upload a file and check file path","",""
"","2575","Display radio button text when selected","UI","Wed Jun 04 03:14:58 GMT 2025","passed","Wed Jun 04 03:15:01 GMT 2025","","popup","",""
"","3173","Check API response by clicking on links","UI","Wed Jun 04 03:13:17 GMT 2025","passed","Wed Jun 04 03:13:20 GMT 2025","","popup","",""
"","2481","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","Wed Jun 04 03:16:08 GMT 2025","unknown","Wed Jun 04 03:16:10 GMT 2025","","Open only the selected accordian section on click","",""
"","1","Retrieve version Mysql","CONTAINER-MYSQL","Wed Jun 04 03:12:54 GMT 2025","skipped","Wed Jun 04 03:12:54 GMT 2025","","Retrieve version Mysql","",""
"","8327","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","Wed Jun 04 03:14:11 GMT 2025","passed","Wed Jun 04 03:14:19 GMT 2025","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","60","Search a pet in petstore API","APIs","Wed Jun 04 03:12:54 GMT 2025","passed","Wed Jun 04 03:12:54 GMT 2025","","petstore","",""
"","4088","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","Wed Jun 04 03:14:07 GMT 2025","passed","Wed Jun 04 03:14:11 GMT 2025","","Check different modals dialogs popin are displayed","",""
"","4163","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Jun 04 03:17:56 GMT 2025","passed","Wed Jun 04 03:18:00 GMT 2025","","Click on ""Start"" to fill up the progress bar","",""
"","3846","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Jun 04 03:18:03 GMT 2025","passed","Wed Jun 04 03:18:07 GMT 2025","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","3455","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Jun 04 03:13:42 GMT 2025","passed","Wed Jun 04 03:13:46 GMT 2025","","Download a file online","",""
"","2757","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Jun 04 03:13:33 GMT 2025","passed","Wed Jun 04 03:13:36 GMT 2025","","Delete the third entry in the web table","",""
"","3818","Display button click when clicked on","UI","Wed Jun 04 03:15:01 GMT 2025","passed","Wed Jun 04 03:15:04 GMT 2025","","popup","",""
"","1960","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Jun 04 03:17:46 GMT 2025","unknown","Wed Jun 04 03:17:48 GMT 2025","","Checking a date via date picker using input field","",""
"","1999","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Wed Jun 04 03:17:48 GMT 2025","unknown","Wed Jun 04 03:17:50 GMT 2025","","Checking a date via date picker using calendar module","",""
"","4265","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Wed Jun 04 03:13:29 GMT 2025","passed","Wed Jun 04 03:13:33 GMT 2025","","Edit the first entry in the web table","",""
"","2851","Redirection to a new page when clicking on link (tabs and windows)","UI","Wed Jun 04 03:12:54 GMT 2025","passed","Wed Jun 04 03:12:57 GMT 2025","","popup","",""
