"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1780","Change input value by moving the slider","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-17","unknown","2026-08-17","","Change input value by moving the slider","",""
"","32407","Fill all the select fields displayed","WIDGET_DISPLAY_AND_MENUS","2026-08-17","failed","2026-08-17","","Fill all the select fields displayed","",""
"","32636","Delete the third entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-17","failed","2026-08-17","","Delete the third entry in the web table","",""
"","5884","Opening a new window with text when clicking on ""New Window Message"" button","BROWSER_WINDOWS_AND_TABS","2026-08-17","passed","2026-08-17","","Opening a new window with text when clicking on ""New Window Message"" button","",""
"","2763","Click on ""Stop"" to stop the progress bar from filling","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-17","passed","2026-08-17","","Click on ""Stop"" to stop the progress bar from filling","",""
"","32638","Check different alerts popins are displayed","ALERT_AND_POPUP_DISPLAY","2026-08-17","failed","2026-08-17","","Check different alerts popins are displayed","",""
"","7039","Redirection to a new tab when clicking on ""New Tab"" button","BROWSER_WINDOWS_AND_TABS","2026-08-17","passed","2026-08-17","","Redirection to a new tab when clicking on ""New Tab"" button","",""
"","32638","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","2026-08-17","failed","2026-08-17","","Display information tooltips on hover for designated element","",""
"","33039","Redirection to a new page when clicking on link (tabs and windows)","UI","2026-08-17","failed","2026-08-17","","popup","",""
"","2","Retrieve version MSSQL","CONTAINER-MSSQL","2026-08-17","skipped","2026-08-17","","Retrieve version MSSQL","",""
"","33067","Drag and drop a draggable element into another","DRAG_AND_DROP","2026-08-17","failed","2026-08-17","","Drag and drop a draggable element into another","",""
"","1886","Download a file online","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-17","passed","2026-08-17","","Download a file online","",""
"","32906","Display checkbox folders and sub-folders when checked","UI","2026-08-17","failed","2026-08-17","","popup","",""
"","32651","Add a new entry to web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-17","failed","2026-08-17","","Add a new entry to web table","",""
"","2485","Display radio button text when selected","UI","2026-08-17","passed","2026-08-17","","popup","",""
"","1","Check multiple frames are displayed properly","FRAMES","2026-08-17","unknown","2026-08-17","","Check multiple frames are displayed properly","",""
"","32494","The button ""Reset"" is visible after the progress bar is at 100%","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-17","failed","2026-08-17","","The button ""Reset"" is visible after the progress bar is at 100%","",""
"","6135","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","2026-08-17","passed","2026-08-17","","Redirection to a new window when clicking on ""New Window"" button","",""
"","32630","Check API response by clicking on links","UI","2026-08-17","failed","2026-08-17","","popup","",""
"","1834","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-17","unknown","2026-08-17","","Checking a date via date picker using calendar module","",""
"","32544","Check different modals dialogs popin are displayed","ALERT_AND_POPUP_DISPLAY","2026-08-17","failed","2026-08-17","","Check different modals dialogs popin are displayed","",""
"","32661","Edit the first entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-17","failed","2026-08-17","","Edit the first entry in the web table","",""
"","221","Search a pet in petstore API","APIs","2026-08-17","passed","2026-08-17","","petstore","",""
"","1791","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","2026-08-17","unknown","2026-08-17","","Open only the selected accordian section on click","",""
"","32615","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-17","failed","2026-08-17","","Search Kierra entry in the web table","",""
"","1683","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","2026-08-17","unknown","2026-08-17","","Navigate using in-page tab contents on click","",""
"","32899","Fill a complete form using external json data","UI","2026-08-17","failed","2026-08-17","","popup","",""
"","309","Create a new pet in petstore API","APIs","2026-08-17","passed","2026-08-17","","petstore","",""
"","2558","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-17","passed","2026-08-17","","Check suggestions when using autocomplete on input field","",""
"","32640","Click on ""Start"" to fill up the progress bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-17","failed","2026-08-17","","Click on ""Start"" to fill up the progress bar","",""
"","7146","Check dynamic elements change properties after 5 seconds","UI","2026-08-17","passed","2026-08-17","","popup","",""
"","388","Delete a pet in petstore API","APIs","2026-08-17","passed","2026-08-17","","petstore","",""
"","3336","Check broken links returns an error 500","UI","2026-08-17","passed","2026-08-17","","popup","",""
"","1837","Change input value by clicking on the slider bar","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-17","unknown","2026-08-17","","Change input value by clicking on the slider bar","",""
"","0","Check frames nested are displayed properly","FRAMES","2026-08-17","unknown","2026-08-17","","Check frames nested are displayed properly","",""
"","1","Retrieve version Mysql","CONTAINER-MYSQL","2026-08-17","skipped","2026-08-17","","Retrieve version Mysql","",""
"","2219","Upload a file and check file path","ADD_DELETE_UPDATE_WEBTABLE_DATA","2026-08-17","passed","2026-08-17","","Upload a file and check file path","",""
"","202","Rename a pet in petstore API","APIs","2026-08-17","passed","2026-08-17","","petstore","",""
"","1821","Checking a date via date picker using input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","2026-08-17","unknown","2026-08-17","","Checking a date via date picker using input field","",""
"","32461","Navigate using in-page menu and sub-menu contents on hover","WIDGET_DISPLAY_AND_MENUS","2026-08-17","failed","2026-08-17","","Navigate using in-page menu and sub-menu contents on hover","",""
"","32684","Display button click when clicked on","UI","2026-08-17","failed","2026-08-17","","popup","",""
